tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
24,2811.286765,0.0188,34.0,0,34.0,2811.286765,0.0204,34.0,0,34.0,-8.37,0.00
25,1176.511029,0.0183,6.0,0,6.0,1176.511029,0.0184,6.0,0,6.0,-0.32,0.00
26,86535.930147,0.0206,44.0,0,44.0,86535.930147,0.0212,44.0,0,44.0,-3.06,0.00
27,35370.727941,0.0189,4.0,0,4.0,35370.727941,0.0292,4.0,0,4.0,-54.27,0.00
28,36747.444853,0.0186,7.0,0,7.0,36747.444853,0.0212,7.0,0,7.0,-13.85,0.00
29,98095.547794,0.0218,8.0,0,8.0,98095.547794,0.0227,8.0,0,8.0,-3.87,0.00
30,50690.558824,0.0186,39.0,0,39.0,50690.558824,0.0219,39.0,0,39.0,-18.04,0.00
31,7430.919118,0.0188,30.0,0,30.0,7430.919118,0.0219,30.0,0,30.0,-16.40,0.00
32,49436.485294,0.0193,36.0,0,36.0,49436.485294,0.0208,36.0,0,36.0,-7.77,0.00
33,121181.470588,0.0207,40.0,0,40.0,121181.470588,0.0224,40.0,0,40.0,-8.11,0.00
34,42952.198529,0.0197,25.0,0,25.0,42952.198529,0.0194,25.0,0,25.0,1.68,0.00
35,46014.389706,0.0225,5.0,0,5.0,46014.389706,0.0239,5.0,0,5.0,-6.37,0.00
36,975.911765,0.0189,29.0,0,29.0,975.911765,0.0202,29.0,0,29.0,-6.50,0.00
37,25029.915441,0.0181,32.0,0,32.0,25029.915441,0.0221,32.0,0,32.0,-22.18,0.00
38,42038.187500,0.0185,8.0,0,8.0,42038.187500,0.0207,8.0,0,8.0,-11.88,0.00
39,5935.525735,0.0203,43.0,0,43.0,5935.525735,0.0203,43.0,0,43.0,0.09,0.00
40,78122.202206,0.0200,39.0,0,39.0,78122.202206,0.0209,39.0,0,39.0,-4.22,0.00
41,1597.198529,0.0194,31.0,0,31.0,1597.198529,0.0206,31.0,0,31.0,-5.95,0.00
42,2175.665441,0.0213,31.0,0,31.0,2175.665441,0.0227,31.0,0,31.0,-6.37,0.00
43,1085.018382,0.0211,32.0,0,32.0,1085.018382,0.0214,32.0,0,32.0,-1.34,0.00
44,4295.761029,0.0185,28.0,0,28.0,4295.761029,0.0226,28.0,0,28.0,-22.16,0.00
45,5453.180147,0.0194,6.0,0,6.0,5453.180147,0.0193,6.0,0,6.0,0.84,0.00
46,4431.216912,0.0190,37.0,0,37.0,4431.216912,0.0221,37.0,0,37.0,-16.29,0.00
47,75190.944853,0.0204,39.0,0,39.0,75190.944853,0.0224,39.0,0,39.0,-9.49,0.00
48,104438.860294,0.0198,7.0,0,7.0,104438.860294,0.0241,7.0,0,7.0,-21.87,0.00
49,901.558824,0.0197,36.0,0,36.0,901.558824,0.0210,36.0,0,36.0,-6.29,0.00
