tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
355,439.011029,0.0214,26.0,0,26.0,439.011029,0.0217,26.0,0,26.0,-1.47,0.00
356,17751.632353,0.0200,23.0,0,23.0,17751.632353,0.0218,23.0,0,23.0,-9.45,0.00
357,17567.459559,0.0212,25.0,0,25.0,17567.459559,0.0221,25.0,0,25.0,-4.19,0.00
358,1240.091912,0.0206,28.0,0,28.0,1240.091912,0.0180,28.0,0,28.0,12.67,0.00
359,141.636029,0.0193,23.0,0,23.0,141.636029,0.0198,23.0,0,23.0,-2.32,0.00
360,40823.738971,0.0253,35.0,0,35.0,40823.738971,0.0213,35.0,0,35.0,15.75,0.00
361,432.580882,0.0203,15.0,0,15.0,432.580882,0.0215,15.0,0,15.0,-6.20,0.00
362,1410.154412,0.0200,13.0,0,13.0,1410.154412,0.0220,13.0,0,13.0,-10.08,0.00
363,68377.334559,0.0200,28.0,0,28.0,68377.334559,0.0222,28.0,0,28.0,-11.11,0.00
364,26547.937500,0.0229,36.0,0,36.0,26547.937500,0.0228,36.0,0,36.0,0.68,0.00
365,42592.838235,0.0225,35.0,0,35.0,42592.838235,0.0351,35.0,0,35.0,-56.26,0.00
366,77639.529412,0.0249,36.0,0,36.0,77639.529412,0.0248,36.0,0,36.0,0.38,0.00
367,1275.312500,0.0215,5.0,0,5.0,1275.312500,0.0227,5.0,0,5.0,-5.60,0.00
368,780.132353,0.0215,5.0,0,5.0,780.132353,0.0245,5.0,0,5.0,-14.13,0.00
369,34984.941176,0.0208,35.0,0,35.0,34984.941176,0.0223,35.0,0,35.0,-7.10,0.00
370,34457.334559,0.0214,32.0,0,32.0,34457.334559,0.0255,32.0,0,32.0,-19.33,0.00
371,70153.422794,0.0205,4.0,0,4.0,70153.422794,0.0198,4.0,0,4.0,3.44,0.00
372,896.801471,0.0204,3.0,0,3.0,896.801471,0.0211,3.0,0,3.0,-3.26,0.00
