tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
158,35849.301471,0.0223,6.0,35849.301471,0.0200,6.0,35849.301471,0.0236,6.0,35849.301471,0.0234,6.0,10.40,-5.66,-4.88
159,72704.540441,0.0216,7.0,72704.540441,0.0220,7.0,72704.540441,0.0243,7.0,72704.540441,0.0206,7.0,-1.77,-12.49,4.39
160,4014.805147,0.0199,30.0,4014.805147,0.0204,30.0,4014.805147,0.0255,30.0,4014.805147,0.0244,30.0,-2.39,-28.22,-22.76
161,8027.205882,0.0224,7.0,8027.205882,0.0213,7.0,8027.205882,0.0229,7.0,8027.205882,0.0215,7.0,4.72,-2.10,3.93
162,23018.073529,0.0265,2.0,23018.073529,0.0212,2.0,23018.073529,0.0242,2.0,23018.073529,0.0227,2.0,20.06,8.82,14.31
163,5834.845588,0.0190,19.0,5834.845588,0.0200,19.0,5834.845588,0.0219,19.0,5834.845588,0.0222,19.0,-4.84,-14.95,-16.66
164,21751.882353,0.0268,2.0,21751.882353,0.0225,2.0,21751.882353,0.0223,2.0,21751.882353,0.0229,2.0,16.33,16.86,14.57
165,6239.128676,0.0217,28.0,6239.128676,0.0209,28.0,6239.128676,0.0296,28.0,6239.128676,0.0214,28.0,3.72,-36.06,1.61
166,14266.113971,0.0262,2.0,14266.113971,0.0208,2.0,14266.113971,0.0255,2.0,14266.113971,0.0215,2.0,20.57,2.80,17.92
167,6836.316176,0.0204,36.0,6836.316176,0.0204,36.0,6836.316176,0.0262,36.0,6836.316176,0.0223,36.0,0.00,-28.30,-9.37
168,24834.944853,0.0199,32.0,24834.944853,0.0220,32.0,24834.944853,0.0248,32.0,24834.944853,0.0239,32.0,-10.67,-24.72,-20.48
169,10476.272059,0.0199,6.0,10476.272059,0.0215,6.0,10476.272059,0.0231,6.0,10476.272059,0.0223,6.0,-8.13,-16.16,-12.37
170,66483.272059,0.0226,18.0,66483.272059,0.0226,18.0,66483.272059,0.0217,18.0,66483.272059,0.0222,18.0,-0.14,3.91,1.65
171,5266.106618,0.0207,38.0,5266.106618,0.0270,38.0,5266.106618,0.0243,38.0,5266.106618,0.0234,38.0,-30.54,-17.41,-13.08
172,37437.477941,0.0222,17.0,37437.477941,0.0227,17.0,37437.477941,0.0251,17.0,37437.477941,0.0271,17.0,-2.14,-13.04,-21.78
173,15905.665441,0.0193,35.0,15905.665441,0.0224,35.0,15905.665441,0.0225,35.0,15905.665441,0.0232,35.0,-15.83,-16.53,-19.93
174,50499.783088,0.0199,36.0,50499.783088,0.0198,36.0,50499.783088,0.0303,36.0,50499.783088,0.0233,36.0,0.50,-52.27,-17.14
175,38864.062500,0.0214,16.0,38864.062500,0.0235,16.0,38864.062500,0.0215,16.0,38864.062500,0.0214,16.0,-9.79,-0.76,0.02
176,40515.250000,0.0240,36.0,40515.250000,0.0212,36.0,40515.250000,0.0239,36.0,40515.250000,0.0244,36.0,11.66,0.23,-1.68
177,5468.691176,0.0201,27.0,5468.691176,0.0208,27.0,5468.691176,0.0208,27.0,5468.691176,0.0382,27.0,-3.15,-3.10,-89.67
178,26956.966912,0.0236,2.0,26956.966912,0.0319,2.0,26956.966912,0.0218,2.0,26956.966912,0.0231,2.0,-34.94,7.76,2.20
179,27019.125000,0.0229,2.0,27019.125000,0.0263,2.0,27019.125000,0.0220,2.0,27019.125000,0.0237,2.0,-14.72,4.03,-3.09
