tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
314,27599.981618,0.1116,3.0,27599.981618,0.1097,3.0,27599.981618,0.1190,3.0,27599.981618,0.1281,3.0,1.72,-6.64,-14.80
315,7284.882353,0.0997,2.0,7284.882353,0.1056,2.0,7284.882353,0.1123,2.0,7284.882353,0.1200,2.0,-5.90,-12.58,-20.29
316,14699.158088,0.0984,2.0,14699.158088,0.1047,2.0,14699.158088,0.1028,2.0,14699.158088,0.1078,2.0,-6.38,-4.45,-9.55
317,46042.496324,0.1049,2.0,46042.496324,0.1043,2.0,46042.496324,0.0982,2.0,46042.496324,0.1120,2.0,0.61,6.44,-6.71
318,10904.621324,0.0971,4.0,10904.621324,0.1107,4.0,10904.621324,0.1075,4.0,10904.621324,0.1161,4.0,-13.98,-10.68,-19.50
319,7794.625000,0.1021,3.0,7794.625000,0.1082,3.0,7794.625000,0.1028,3.0,7794.625000,0.1151,3.0,-5.93,-0.68,-12.72
320,8426.841912,0.1058,2.0,8426.841912,0.1112,2.0,8426.841912,0.1080,2.0,8426.841912,0.1180,2.0,-5.03,-2.06,-11.45
321,22088.069853,0.0982,2.0,22088.069853,0.1109,2.0,22088.069853,0.1081,2.0,22088.069853,0.1162,2.0,-12.98,-10.14,-18.38
322,24142.055147,0.1024,3.0,24142.055147,0.1123,3.0,24142.055147,0.1108,3.0,24142.055147,0.1107,3.0,-9.72,-8.18,-8.10
323,23380.992647,0.1042,2.0,23380.992647,0.1143,2.0,23380.992647,0.1116,2.0,23380.992647,0.1414,2.0,-9.66,-7.10,-35.65
324,27101.731618,0.1024,2.0,27101.731618,0.1093,2.0,27101.731618,0.1043,2.0,27101.731618,0.1085,2.0,-6.75,-1.81,-5.94
325,135529.724265,0.0942,2.0,135529.724265,0.1062,2.0,135529.724265,0.1012,2.0,135529.724265,0.1071,2.0,-12.68,-7.39,-13.66
326,9906.634191,0.0991,8.0,9906.634191,0.1107,8.0,9906.634191,0.1190,8.0,9906.634191,0.1177,8.0,-11.69,-20.07,-18.82
327,12616.106618,0.1032,2.0,12616.106618,0.1131,2.0,12616.106618,0.1269,2.0,12616.106618,0.1149,2.0,-9.58,-22.95,-11.31
328,20515.477941,0.0955,2.0,20515.477941,0.1022,2.0,20515.477941,0.1070,2.0,20515.477941,0.1057,2.0,-6.98,-12.05,-10.65
329,17582.525735,0.0966,2.0,17582.525735,0.1182,2.0,17582.525735,0.1034,2.0,17582.525735,0.1051,2.0,-22.37,-7.07,-8.86
330,9944.382353,0.1063,3.0,9944.382353,0.1151,3.0,9944.382353,0.1112,3.0,9944.382353,0.1252,3.0,-8.26,-4.55,-17.78
331,10574.547794,0.1326,3.0,10574.547794,0.1017,3.0,10574.547794,0.1067,3.0,10574.547794,0.1643,2.0,23.27,19.49,-23.93
332,26452.062500,0.0966,3.0,26452.062500,0.1049,3.0,26452.062500,0.1049,3.0,26452.062500,0.1613,3.0,-8.59,-8.59,-66.97
333,22869.444853,0.1033,2.0,22869.444853,0.1044,2.0,22869.444853,0.1076,2.0,22869.444853,0.1262,2.0,-1.02,-4.15,-22.08
334,18224.683824,0.0986,6.0,18224.683824,0.0993,6.0,18224.683824,0.0998,6.0,18224.683824,0.1100,6.0,-0.77,-1.28,-11.62
335,1457.595588,0.1059,3.0,1457.595588,0.1099,3.0,1457.595588,0.1097,3.0,1457.595588,0.1575,3.0,-3.73,-3.57,-48.70
336,6578.136029,0.1278,8.0,6578.136029,0.1055,8.0,6578.136029,0.1080,8.0,6578.136029,0.1164,8.0,17.46,15.50,8.94
337,4559.266544,0.1007,5.0,4559.266544,0.1012,5.0,4559.266544,0.1032,5.0,4559.266544,0.1365,5.0,-0.53,-2.43,-35.49
338,33894.220588,0.0974,5.0,33894.220588,0.1002,5.0,33894.220588,0.1030,5.0,33894.220588,0.1015,5.0,-2.83,-5.72,-4.19
339,8007.279412,0.1079,3.0,8007.279412,0.1161,3.0,8007.279412,0.1161,3.0,8007.279412,0.1238,3.0,-7.61,-7.60,-14.80
340,1570.919118,0.0950,2.0,1570.919118,0.1009,2.0,1570.919118,0.0983,2.0,1570.919118,0.1082,2.0,-6.18,-3.41,-13.89
341,8245.849265,0.1006,2.0,8245.849265,0.1027,2.0,8245.849265,0.1096,2.0,8245.849265,0.1202,2.0,-2.15,-8.95,-19.50
342,25538.338235,0.1115,3.0,25538.338235,0.0977,3.0,25538.338235,0.1076,3.0,25538.338235,0.1143,3.0,12.33,3.47,-2.55
343,52601.484069,0.1109,29.0,52601.484069,0.1020,29.0,52601.484069,0.1092,29.0,52601.484069,0.1246,29.0,8.05,1.58,-12.29
344,1013.746324,0.0986,2.0,1013.746324,0.1001,2.0,1013.746324,0.1083,2.0,1013.746324,0.1328,2.0,-1.50,-9.79,-34.63
345,38143.536765,0.0979,6.0,38143.536765,0.0934,6.0,38143.536765,0.1042,6.0,38143.536765,0.1075,6.0,4.54,-6.48,-9.80
346,6011.626838,0.0950,5.0,6011.626838,0.0981,5.0,6011.626838,0.1052,5.0,6011.626838,0.1123,5.0,-3.35,-10.78,-18.30
347,1170.077206,0.1053,5.0,1170.077206,0.1014,5.0,1170.077206,0.1066,5.0,1170.077206,0.1218,5.0,3.73,-1.24,-15.59
348,1322.591912,0.1158,5.0,1322.591912,0.1025,5.0,1322.591912,0.1110,5.0,1322.591912,0.1274,5.0,11.44,4.16,-9.99
349,5964.227941,0.1157,3.0,5964.227941,0.1016,3.0,5964.227941,0.1036,3.0,5964.227941,0.1209,3.0,12.17,10.43,-4.52
350,15814.044118,0.0988,2.0,15814.044118,0.0960,2.0,15814.044118,0.1034,2.0,15814.044118,0.1106,2.0,2.82,-4.65,-11.94
